"hRate","dTime","landscape","patch","gen","count","hcount","pupae","larvae","dead_adults"
0,1,1,2,1,40,0,0,0,0
0,1,1,2,1,0,0,0,0,0
0,1,1,3,1,0,0,0,0,0
0,1,1,4,1,0,0,0,0,0
0,1,1,5,1,0,0,0,0,0
0,1,1,6,1,0,0,0,0,0
0,1,2,1,1,59,0,0,0,0
0,1,2,2,1,0,0,0,0,0
0,1,2,3,1,0,0,0,0,0
0,1,2,4,1,0,0,0,0,0
0,1,2,5,1,0,0,0,0,0
0,1,2,6,1,0,0,0,0,0
0.25,1,1,1,1,49,13,0,0,0
0.25,1,1,2,1,0,0,0,0,0
0.25,1,1,3,1,0,0,0,0,0
0.25,1,1,4,1,0,0,0,0,0
0.25,1,1,5,1,0,0,0,0,0
0.25,1,1,6,1,0,0,0,0,0
0.25,1,2,1,1,76,20,0,0,0
0.25,1,2,2,1,3,0,0,0,0
0.25,1,2,3,1,0,0,0,0,0
0.25,1,2,4,1,0,0,0,0,0
0.25,1,2,5,1,0,0,0,0,0
0.25,1,2,6,1,0,0,0,0,0
0.5,1,1,1,1,33,17,0,0,0
0.5,1,1,2,1,0,0,0,0,0
0.5,1,1,3,1,0,0,0,0,0
0.5,1,1,4,1,0,0,0,0,0
0.5,1,1,5,1,0,0,0,0,0
0.5,1,1,6,1,0,0,0,0,0
0.5,1,2,1,1,69,35,0,0,0
0.5,1,2,2,1,2,1,0,0,0
0.5,1,2,3,1,0,0,0,0,0
0.5,1,2,4,1,0,0,0,0,0
0.5,1,2,5,1,0,0,0,0,0
0.5,1,2,6,1,0,0,0,0,0
0.75,1,1,1,1,82,62,0,0,0
0.75,1,1,2,1,0,0,0,0,0
0.75,1,1,3,1,0,0,0,0,0
0.75,1,1,4,1,0,0,0,0,0
0.75,1,1,5,1,0,0,0,0,0
0.75,1,1,6,1,0,0,0,0,0
0.75,1,2,1,1,65,49,0,0,0
0.75,1,2,2,1,0,0,0,0,0
0.75,1,2,3,1,0,0,0,0,0
0.75,1,2,4,1,0,0,0,0,0
0.75,1,2,5,1,0,0,0,0,0
0.75,1,2,6,1,0,0,0,0,0
0,6,1,1,1,80,0,0,0,0
0,6,1,2,1,0,0,0,0,0
0,6,1,3,1,0,0,0,0,0
0,6,1,4,1,0,0,0,0,0
0,6,1,5,1,0,0,0,0,0
0,6,1,6,1,0,0,0,0,0
0,6,2,1,1,57,0,0,0,0
0,6,2,2,1,2,0,0,0,0
0,6,2,3,1,0,0,0,0,0
0,6,2,4,1,0,0,0,0,0
0,6,2,5,1,0,0,0,0,0
0,6,2,6,1,0,0,0,0,0
0.25,6,1,1,1,55,14,0,0,0
0.25,6,1,2,1,2,1,0,0,0
0.25,6,1,3,1,0,0,0,0,0
0.25,6,1,4,1,0,0,0,0,0
0.25,6,1,5,1,0,0,0,0,0
0.25,6,1,6,1,0,0,0,0,0
0.25,6,2,1,1,81,21,0,0,0
0.25,6,2,2,1,3,1,0,0,0
0.25,6,2,3,1,0,0,0,0,0
0.25,6,2,4,1,0,0,0,0,0
0.25,6,2,5,1,0,0,0,0,0
0.25,6,2,6,1,0,0,0,0,0
0.5,6,1,1,1,66,33,0,0,0
0.5,6,1,2,1,4,2,0,0,0
0.5,6,1,3,1,0,0,0,0,0
0.5,6,1,4,1,0,0,0,0,0
0.5,6,1,5,1,0,0,0,0,0
0.5,6,1,6,1,0,0,0,0,0
0.5,6,2,1,1,78,40,0,0,0
0.5,6,2,2,1,2,1,0,0,0
0.5,6,2,3,1,0,0,0,0,0
0.5,6,2,4,1,0,0,0,0,0
0.5,6,2,5,1,0,0,0,0,0
0.5,6,2,6,1,0,0,0,0,0
0.75,6,1,1,1,61,46,0,0,0
0.75,6,1,2,1,0,0,0,0,0
0.75,6,1,3,1,0,0,0,0,0
0.75,6,1,4,1,0,0,0,0,0
0.75,6,1,5,1,0,0,0,0,0
0.75,6,1,6,1,0,0,0,0,0
0.75,6,2,1,1,50,38,0,0,0
0.75,6,2,2,1,0,0,0,0,0
0.75,6,2,3,1,0,0,0,0,0
0.75,6,2,4,1,0,0,0,0,0
0.75,6,2,5,1,0,0,0,0,0
0.75,6,2,6,1,0,0,0,0,0
0,24,1,1,1,63,0,0,0,0
0,24,1,2,1,5,0,0,0,0
0,24,1,3,1,0,0,0,0,0
0,24,1,4,1,0,0,0,0,0
0,24,1,5,1,0,0,0,0,0
0,24,1,6,1,0,0,0,0,0
0,24,2,1,1,50,0,0,0,0
0,24,2,2,1,0,0,0,0,0
0,24,2,3,1,0,0,0,0,0
0,24,2,4,1,0,0,0,0,0
0,24,2,5,1,0,0,0,0,0
0,24,2,6,1,0,0,0,0,0
0.25,24,1,1,1,65,17,0,0,0
0.25,24,1,2,1,2,1,0,0,0
0.25,24,1,3,1,0,0,0,0,0
0.25,24,1,4,1,0,0,0,0,0
0.25,24,1,5,1,0,0,0,0,0
0.25,24,1,6,1,0,0,0,0,0
0.25,24,2,1,1,70,18,0,0,0
0.25,24,2,2,1,8,2,0,0,0
