"harvest 
rate","dispersal
time",land-scape,patch,gen,date,"total 
count","total 
w50","total 
weight","harvest 
count","harvest 
weight",leftover count or weight,pupae,larvae,dead adults
0,1,1,1,1,13-Mar,40,0,0.1014,0,0,40,0,0,0
0,1,1,2,1,13-Mar,0,0,0,0,0,0,0,0,0
0,1,1,3,1,13-Mar,0,0,0,0,0,0,0,0,0
0,1,1,4,1,13-Mar,0,0,0,0,0,0,0,0,0
0,1,1,5,1,13-Mar,0,0,0,0,0,0,0,0,0
0,1,1,6,1,13-Mar,0,0,0,0,0,0,0,0,0
0,1,2,1,1,13-Mar,59,0.1231,0.1467,0,0,59,0,0,0
0,1,2,2,1,13-Mar,0,0,0,0,0,0,0,0,0
0,1,2,3,1,13-Mar,0,0,0,0,0,0,0,0,0
0,1,2,4,1,13-Mar,0,0,0,0,0,0,0,0,0
0,1,2,5,1,13-Mar,0,0,0,0,0,0,0,0,0
0,1,2,6,1,13-Mar,0,0,0,0,0,0,0,0,0
0.25,1,1,1,1,13-Mar,49,0,0.1233,13,0,36,0,0,0
0.25,1,1,2,1,13-Mar,0,0,0,0,0,0,0,0,0
0.25,1,1,3,1,13-Mar,0,0,0,0,0,0,0,0,0
0.25,1,1,4,1,13-Mar,0,0,0,0,0,0,0,0,0
0.25,1,1,5,1,13-Mar,0,0,0,0,0,0,0,0,0
0.25,1,1,6,1,13-Mar,0,0,0,0,0,0,0,0,0
0.25,1,2,1,1,13-Mar,NA,0.1187,0.1947,0,0.0487,0,0,0,0
0.25,1,2,2,1,13-Mar,3,0,0.007,0,0,0,0,0,0
0.25,1,2,3,1,13-Mar,0,0,0,0,0,0,0,0,0
0.25,1,2,4,1,13-Mar,0,0,0,0,0,0,0,0,0
0.25,1,2,5,1,13-Mar,0,0,0,0,0,0,0,0,0
0.25,1,2,6,1,13-Mar,0,0,0,0,0,0,0,0,0
0.5,1,1,1,1,13-Mar,33,0,0.0846,17,0,16,0,0,0
0.5,1,1,2,1,13-Mar,0,0,0,0,0,0,0,0,0
0.5,1,1,3,1,13-Mar,0,0,0,0,0,0,0,0,0
0.5,1,1,4,1,13-Mar,0,0,0,0,0,0,0,0,0
0.5,1,1,5,1,13-Mar,0,0,0,0,0,0,0,0,0
0.5,1,1,6,1,13-Mar,0,0,0,0,0,0,0,0,0
0.5,1,2,1,1,13-Mar,69,0.1272,0.176,35,0,34,0,0,0
