"Date","Temp","RH","DP","NA","NA","NA","NA","NA"
"05/26/17 12:06:31 PM","87.359","52.162","67.705","","","","",""
"05/26/17 12:21:31 PM","87.449","53.646","68.607","","","","",""
"05/26/17 12:36:31 PM","87.449","53.646","68.607","","","","",""
"05/26/17 12:51:31 PM","87.449","54.542","69.091","","","","",""
"05/26/17 01:06:31 PM","87.449","54.638","69.141","","","","",""
"05/26/17 01:21:31 PM","87.449","55.499","69.600","","","","",""
"05/26/17 01:36:31 PM","87.449","54.606","69.125","","","","",""
"05/26/17 01:51:31 PM","87.449","54.478","69.057","","","","",""
"05/26/17 02:06:31 PM","87.449","54.126","68.868","","","","",""
"05/26/17 02:21:31 PM","87.449","54.350","68.988","","","","",""
"05/26/17 02:36:31 PM","87.449","54.286","68.954","","","","",""
"05/26/17 02:51:31 PM","87.449","54.478","69.057","","","","",""
"05/26/17 03:06:31 PM","87.449","54.510","69.073","","","","",""
"05/26/17 03:21:31 PM","87.449","53.838","68.711","","","","",""
"05/26/17 03:36:31 PM","87.449","54.510","69.073","","","","",""
"05/26/17 03:51:31 PM","87.496","53.778","68.720","","","","",""
"05/26/17 04:06:31 PM","87.449","53.934","68.763","","","","",""
"05/26/17 04:21:31 PM","87.449","54.925","69.296","","","","",""
"05/26/17 04:36:31 PM","87.449","55.913","69.818","","","","",""
"05/26/17 04:51:31 PM","87.267","51.092","67.019","","","","",""
"05/26/17 05:06:31 PM","87.496","52.623","68.086","","","","",""
"05/26/17 05:21:31 PM","87.496","53.554","68.598","","","","",""
"05/26/17 05:36:31 PM","87.496","54.482","69.100","","","","",""
"05/26/17 05:51:31 PM","87.496","55.216","69.492","","","","",""
"05/26/17 06:06:31 PM","87.541","55.060","69.453","","","","",""
"05/26/17 06:21:31 PM","87.496","55.662","69.728","","","","",""
"05/26/17 06:36:31 PM","87.496","53.778","68.720","","","","",""
"05/26/17 06:51:31 PM","87.496","53.522","68.581","","","","",""
"05/26/17 07:06:31 PM","87.496","53.650","68.652","","","","",""
"05/26/17 07:21:31 PM","87.496","53.265","68.441","","","","",""
"05/26/17 07:36:31 PM","87.449","53.037","68.274","","","","",""
"05/26/17 07:51:31 PM","87.449","53.069","68.292","","","","",""
"05/26/17 08:06:31 PM","87.449","53.069","68.292","","","","",""
"05/26/17 08:21:31 PM","87.449","53.133","68.326","","","","",""
"05/26/17 08:36:31 PM","87.449","52.491","67.971","","","","",""
"05/26/17 08:51:31 PM","87.449","52.876","68.185","","","","",""
"05/26/17 09:06:31 PM","87.449","52.137","67.775","","","","",""
"05/26/17 09:21:31 PM","87.449","52.555","68.007","","","","",""
"05/26/17 09:36:31 PM","87.449","52.555","68.007","","","","",""
"05/26/17 09:51:31 PM","87.449","52.298","67.865","","","","",""
"05/26/17 10:06:31 PM","87.449","52.394","67.919","","","","",""
"05/26/17 10:21:31 PM","87.449","51.976","67.685","","","","",""
"05/26/17 10:36:31 PM","87.449","51.461","67.395","","","","",""
"05/26/17 10:51:31 PM","87.449","51.299","67.303","","","","",""
"05/26/17 11:06:31 PM","87.449","51.557","67.449","","","","",""
"05/26/17 11:21:31 PM","87.404","51.651","67.460","","","","",""
"05/26/17 11:36:31 PM","87.449","51.525","67.431","","","","",""
"05/26/17 11:51:31 PM","87.449","51.428","67.377","","","","",""
"05/27/17 12:06:31 AM","87.404","51.586","67.424","","","","",""
"05/27/17 12:21:31 AM","87.404","51.812","67.552","","","","",""
"05/27/17 12:36:31 AM","87.449","52.073","67.739","","","","",""
"05/27/17 12:51:31 AM","87.404","51.328","67.278","","","","",""
"05/27/17 01:06:31 AM","87.449","51.880","67.631","","","","",""
"05/27/17 01:21:31 AM","87.449","51.686","67.523","","","","",""
"05/27/17 01:36:31 AM","87.449","52.073","67.739","","","","",""
"05/27/17 01:51:31 AM","87.404","51.812","67.552","","","","",""
"05/27/17 02:06:31 AM","87.449","51.718","67.541","","","","",""
"05/27/17 02:21:31 AM","87.449","51.783","67.577","","","","",""
"05/27/17 02:36:31 AM","87.449","51.428","67.377","","","","",""
"05/27/17 02:51:31 AM","87.404","51.005","67.096","","","","",""
"05/27/17 03:06:31 AM","87.404","51.522","67.388","","","","",""
"05/27/17 03:21:31 AM","87.449","51.332","67.323","","","","",""
"05/27/17 03:36:31 AM","87.404","51.780","67.534","","","","",""
"05/27/17 03:51:31 AM","87.449","51.912","67.649","","","","",""
"05/27/17 04:06:31 AM","87.404","52.102","67.714","","","","",""
"05/27/17 04:21:31 AM","87.404","52.005","67.660","","","","",""
"05/27/17 04:36:31 AM","87.449","51.912","67.649","","","","",""
"05/27/17 04:51:31 AM","87.449","52.298","67.865","","","","",""
"05/27/17 05:06:31 AM","87.404","52.102","67.714","","","","",""
"05/27/17 05:21:31 AM","87.449","51.912","67.649","","","","",""
"05/27/17 05:36:31 AM","87.449","52.266","67.847","","","","",""
"05/27/17 05:51:31 AM","87.449","51.847","67.613","","","","",""
"05/27/17 06:06:31 AM","87.404","52.102","67.714","","","","",""
"05/27/17 06:21:31 AM","87.449","51.622","67.487","","","","",""
"05/27/17 06:36:31 AM","87.449","51.880","67.631","","","","",""
"05/27/17 06:51:31 AM","87.404","51.586","67.424","","","","",""
"05/27/17 07:06:31 AM","87.404","51.070","67.132","","","","",""
"05/27/17 07:21:31 AM","87.404","50.973","67.077","","","","",""
"05/27/17 07:36:31 AM","87.404","51.264","67.242","","","","",""
"05/27/17 07:51:31 AM","87.404","50.844","67.003","","","","",""
"05/27/17 08:06:31 AM","87.359","50.291","66.645","","","","",""
"05/27/17 08:21:31 AM","87.404","50.909","67.041","","","","",""
"05/27/17 08:36:31 AM","87.449","51.073","67.176","","","","",""
"05/27/17 08:51:31 AM","87.404","50.553","66.837","","","","",""
"05/27/17 09:06:31 AM","87.404","51.135","67.168","","","","",""
"05/27/17 09:21:31 AM","87.404","50.715","66.929","","","","",""
"05/27/17 09:36:31 AM","87.449","50.847","67.048","","","","",""
"05/27/17 09:51:31 AM","87.449","51.073","67.176","","","","",""
"05/27/17 10:06:31 AM","87.404","50.553","66.837","","","","",""
"05/27/17 10:21:31 AM","87.404","51.005","67.096","","","","",""
"05/27/17 10:36:31 AM","87.449","50.556","66.880","","","","",""
"05/27/17 10:51:31 AM","87.404","50.553","66.837","","","","",""
"05/27/17 11:06:31 AM","87.404","51.393","67.316","","","","",""
"05/27/17 11:21:31 AM","87.404","50.941","67.059","","","","",""
"05/27/17 11:36:31 AM","87.449","50.783","67.010","","","","",""
"05/27/17 11:51:31 AM","87.449","50.686","66.956","","","","",""
"05/27/17 12:06:31 PM","87.449","51.428","67.377","","","","",""
"05/27/17 12:21:31 PM","87.449","52.330","67.883","","","","",""
"05/27/17 12:36:31 PM","87.449","52.587","68.025","","","","",""
"05/27/17 12:51:31 PM","87.449","53.230","68.380","","","","",""
"05/27/17 01:06:31 PM","87.449","52.909","68.203","","","","",""
"05/27/17 01:21:31 PM","87.404","52.520","67.946","","","","",""
"05/27/17 01:36:31 PM","87.449","53.101","68.308","","","","",""
"05/27/17 01:51:31 PM","87.449","52.748","68.113","","","","",""
"05/27/17 02:06:31 PM","87.449","52.973","68.238","","","","",""
"05/27/17 02:21:31 PM","87.496","53.297","68.459","","","","",""
"05/27/17 02:36:31 PM","87.449","52.844","68.167","","","","",""
"05/27/17 02:51:31 PM","87.449","52.491","67.971","","","","",""
"05/27/17 03:06:31 PM","87.449","52.587","68.025","","","","",""
"05/27/17 03:21:31 PM","87.449","52.684","68.079","","","","",""
"05/27/17 03:36:31 PM","87.449","52.780","68.131","","","","",""
"05/27/17 03:51:31 PM","87.404","52.712","68.052","","","","",""
"05/27/17 04:06:31 PM","87.449","52.491","67.971","","","","",""
"05/27/17 04:21:31 PM","87.449","52.684","68.079","","","","",""
"05/27/17 04:36:31 PM","87.449","52.137","67.775","","","","",""
"05/27/17 04:51:31 PM","87.449","52.362","67.901","","","","",""
"05/27/17 05:06:31 PM","87.449","52.555","68.007","","","","",""
"05/27/17 05:21:31 PM","87.449","52.491","67.971","","","","",""
"05/27/17 05:36:31 PM","87.449","52.427","67.937","","","","",""
"05/27/17 05:51:31 PM","87.449","52.748","68.113","","","","",""
"05/27/17 06:06:31 PM","87.449","52.587","68.025","","","","",""
"05/27/17 06:21:31 PM","87.404","52.488","67.928","","","","",""
"05/27/17 06:36:31 PM","87.449","52.844","68.167","","","","",""
"05/27/17 06:51:31 PM","87.449","53.133","68.326","","","","",""
"05/27/17 07:06:31 PM","87.449","52.973","68.238","","","","",""
"05/27/17 07:21:31 PM","87.404","52.937","68.176","","","","",""
"05/27/17 07:36:31 PM","87.449","53.069","68.292","","","","",""
"05/27/17 07:51:31 PM","87.449","53.165","68.344","","","","",""
"05/27/17 08:06:31 PM","87.449","53.934","68.763","","","","",""
"05/27/17 08:21:31 PM","87.404","52.712","68.052","","","","",""
"05/27/17 08:36:31 PM","87.404","52.359","67.856","","","","",""
"05/27/17 08:51:31 PM","87.449","52.266","67.847","","","","",""
"05/27/17 09:06:31 PM","87.404","52.616","68.000","","","","",""
"05/27/17 09:21:31 PM","87.404","52.616","68.000","","","","",""
